cocktail,ingredient_primary,ingredient_sub,measure,amount
Negroni,Gin,London Dry,Ounce,1
Negroni,Vermouth,Sweet,Ounce,1
Negroni,Campari,,Ounce,1
Negroni,Orange Twist,,Garnish,1
Negroni,Stir,,Method,1
Negroni,Rocks,,Serve,1
Margarita,Tequila,Blanco,Ounce,1
Margarita,Lime,,Ounce,0.75
Margarita,Curacao,,Ounce,0.5
Margarita,Simple Syrup,,Ounce,0.25
Margarita,Lime Wheel,,Garnish,1
Margarita,Shake,,Method,1
Margarita,Rocks,,Serve,1
Manhattan,Rye,,Ounce,2
Manhattan,Vermouth,Sweet,Ounce,1
Manhattan,Angostura Bitters,,Dash,2
Manhattan,Stir,,Method,1
Manhattan,Up,,Serve,1
Daiquiri,Rum,White,Ounce,2
Daiquiri,Lime,,Ounce,0.75
Daiquiri,Simple Syrup,,Ounce,0.75
Daiquiri,Shake,,Method,1
Daiquiri,Up,,Serve,1
Boulevardier,Bourbon,,Ounce,1.5
Boulevardier,Vermouth,Sweet,Ounce,0.75
Boulevardier,Campari,,Ounce,0.75
Boulevardier,Orange Twist,,Garnish,1
Boulevardier,Stir,,Method,1
Boulevardier,Up,,Serve,1
Corpse Reviver #2,Gin,London Dry,Ounce,0.75
Corpse Reviver #2,Aromatized Wine,Bitter,Ounce,0.75
Corpse Reviver #2,Curacao,,Ounce,0.75
Corpse Reviver #2,Lemon,,Ounce,0.75
Corpse Reviver #2,Absinthe,,Dash,2
Corpse Reviver #2,Shake,,Method,1
Corpse Reviver #2,Up,,Serve,1
12 Mile Limit,Rum,White,Ounce,1
12 Mile Limit,Cognac,,Ounce,0.5
12 Mile Limit,Rye,,Ounce,0.5
12 Mile Limit,Lemon,,Ounce,0.75
12 Mile Limit,Grenadine,,Ounce,0.75
12 Mile Limit,Peychaud's Bitters,,Dash,2
12 Mile Limit,Shake,,Method,1
12 Mile Limit,Up,,Serve,1
20th Century,Gin,,Ounce,1.5
20th Century,Aromatized Wine,Bitter,Ounce,0.75
20th Century,Creme de Cacao,,Ounce,0.75
20th Century,Lemon,,Ounce,0.75
20th Century,Shake,,Method,1
20th Century,Up,,Serve,1
Airmail,Rum,White,Ounce,1.5
Airmail,Lime,,Ounce,0.75
Airmail,Honey Syrup,,Ounce,0.75
Airmail,Sparkling Wine,,Ounce,2
Airmail,Shake,,Method,1
Airmail,Up,,Serve,1
Sazerac,Rye,,Ounce,2
Sazerac,Rich Simple Syrup,,Ounce,0.25
Sazerac,Peychaud's Bitters,,Dash,2
Sazerac,Pernod Absinthe,,Dash,1
Sazerac,Lemon Twist,,Garnish,1
Sazerac,Stir,,Method,1
Sazerac,Up,,Serve,1
Vieux Carre,Rye,,Ounce,1
Vieux Carre,Cognac,,Ounce,1
Vieux Carre,Vermouth,Sweet,Ounce,1
Vieux Carre,Benedictine,,Ounce,0.1667
Vieux Carre,Angostura Bitters,,Dash,1
Vieux Carre,Peychaud's Bitters,,Dash,1
Vieux Carre,Stir,,Method,1
Vieux Carre,Rocks,,Serve,1
Old Fashioned,Bourbon,,Ounce,2
Old Fashioned,Rich Simple Syrup,,Ounce,0.25
Old Fashioned,Angostura Bitters,,Dash,2
Old Fashioned,Orange Twist,,Garnish,1
Old Fashioned,Lemon Twist,,Garnish,1
Old Fashioned,Stir,,Method,1
Old Fashioned,Rocks,,Serve,1
Vermouth Cocktail,Vermouth,Sweet,Ounce,2
Vermouth Cocktail,Simple Syrup,,Ounce,0.125
Vermouth Cocktail,Angostura Bitters,,Dash,2
Vermouth Cocktail,Orange Bitters,,Dash,1
Vermouth Cocktail,Lemon Twist,,Garnish,1
Vermouth Cocktail,Stir,,Method,1
Vermouth Cocktail,Up,,Serve,1
Ti' Punch,Rum,Agricole Blanc,Ounce,2
Ti' Punch,Cane Sugar Syrup,,Ounce,0.1667
Ti' Punch,Lime,,Ounce,0.125
Ti' Punch,Lime Peel,,Garnish,1
Ti' Punch,Stir,,Method,1
Ti' Punch,Rocks,,Serve,1
Fancy Free,Rye,,Ounce,2
Fancy Free,Maraschino Liqueur,,Ounce,0.5
Fancy Free,Angostura Bitters,,Dash,1
Fancy Free,Orange Bitters,,Dash,1
Fancy Free,Orange Twist,,Garnish,1
Fancy Free,Stir,,Method,1
Fancy Free,Rocks,,Serve,1
Monte Carlo,Rye,,Ounce,2
Monte Carlo,Benedictine,,Ounce,0.5
Monte Carlo,Angostura Bitters,,Dash,2
Monte Carlo,Lemon Twist,,Garnish,1
Monte Carlo,Stir,,Method,1
Monte Carlo,Rocks,,Serve,1
Chrysanthemum,Vermouth,Dry,Ounce,2.5
Chrysanthemum,Benedictine,,Ounce,0.5
Chrysanthemum,Absinthe,,Ounce,0.1667
Chrysanthemum,Orange Twist,,Garnish,1
Chrysanthemum,Stir,,Method,1
Chrysanthemum,Up,,Serve,1
Stinger,Cognac,,Ounce,2
Stinger,Creme de Methe,,Ounce,0.75
Stinger,Shake,,Method,1
Stinger,Up,,Serve,1
Improved Whiskey Cocktail,Bourbon,,Ounce,2
Improved Whiskey Cocktail,Maraschino Liqueur,,Ounce,0.1667
Improved Whiskey Cocktail,Absinthe,,Dash,1
Improved Whiskey Cocktail,Angostura Bitters,,Dash,1
Improved Whiskey Cocktail,Peychaud's Bitters,,Dash,1
Improved Whiskey Cocktail,Lemon Twist,,Garnish,1
Improved Whiskey Cocktail,Stir,,Method,1
Improved Whiskey Cocktail,Rocks,,Serve,1
Champagne Cocktail,Sparkling Wine,,Ounce,4
Champagne Cocktail,Simple Syrup,,Ounce,0.25
Champagne Cocktail,Angostura Bitters,,Dash,1
Champagne Cocktail,Lemon Twist,,Garnish,1
Champagne Cocktail,Stir,,Method,1
Champagne Cocktail,Up,,Serve,1
Mint Julep,Bourbon,,Ounce,2
Mint Julep,Simple Syrup,,Ounce,0.25
Mint Julep,Mint Leaves,,Adjunct,5
Mint Julep,Mint Sprig,,Garnish,1
Mint Julep,Stir,,Method,1
Mint Julep,Crushed,,Serve,1
Sherry Cobbler,Sherry,Amontillado,Ounce,3.5
Sherry Cobbler,Simple Syrup,,Ounce,0.5
Sherry Cobbler,Orange Slice,,Adjunct,1
Sherry Cobbler,Shake,,Method,1
Sherry Cobbler,Crushed,,Serve,1
Martini,Gin,London Dry,Ounce,2
Martini,Vermouth,Dry,Ounce,1
Martini,Lemon Twist,,Garnish,1
Martini,Stir,,Method,1
Martini,Up,,Serve,1
Vesper,Gin,London Dry,Ounce,1.5
Vesper,Vodka,,Ounce,0.75
Vesper,Aromatized Wine,Bitter,Ounce,0.5
Vesper,Lemon Twist,,Garnish,1
Vesper,Stir,,Method,1
Vesper,Up,,Serve,1
Poet's Dream,Gin,London Dry,Ounce,2
Poet's Dream,Vermouth,Dry,Ounce,0.75
Poet's Dream,Benedictine,,Ounce,0.25
Poet's Dream,Orange Bitters,,Dash,1
Poet's Dream,Lemon Twist,,Garnish,1
Poet's Dream,Stir,,Method,1
Poet's Dream,Up,,Serve,1
La Rosita,Tequila,Reposado,Ounce,1.5
La Rosita,Vermouth,Sweet,Ounce,0.5
La Rosita,Vermouth,Dry,Ounce,0.5
La Rosita,Campari,,Ounce,0.5
La Rosita,Angostura Bitters,,Dash,1
La Rosita,Orange Twist,,Garnish,1
La Rosita,Stir,,Method,1
La Rosita,Up,,Serve,1
Old Pal,Rye,,Ounce,1.5
Old Pal,Vermouth,Dry,Ounce,0.75
Old Pal,Campari,,Ounce,0.75
Old Pal,Lemon Twist,,Garnish,1
Old Pal,Stir,,Method,1
Old Pal,Up,,Serve,1
Bamboo,Sherry,Amontillado,Ounce,1.5
Bamboo,Vermouth,Dry,Ounce,1.5
Bamboo,Orange Bitters,,Dash,2
Bamboo,Lemon Twist,,Garnish,1
Bamboo,Stir,,Method,1
Bamboo,Up,,Serve,1
Amaretto Sour,Amaretto,,Ounce,2
Amaretto Sour,Lemon,,Ounce,1
Amaretto Sour,Simple Syrup,,Ounce,0.25
Amaretto Sour,Angostura Bitters,,Dash,1
Amaretto Sour,Orange Slice,,Garnish,1
Amaretto Sour,Cherry,,Garnish,1
Amaretto Sour,Shake,,Method,1
Amaretto Sour,Rocks,,Serve,1
Gimlet,Gin,,Ounce,2
Gimlet,Lime,,Ounce,1
Gimlet,Simple Syrup,,Ounce,0.75
Gimlet,Lime Wedge,,Garnish,1
Gimlet,Shake,,Method,1
Gimlet,Up,,Serve,1
Pisco Sour,Pisco,,Ounce,2
Pisco Sour,Lime,,Ounce,0.5
Pisco Sour,Lemon,,Ounce,0.25
Pisco Sour,Simple Syrup,,Ounce,0.75
Pisco Sour,Egg White,,Adjunct,1
Pisco Sour,Angostura Bitters,,Garnish,1
Pisco Sour,Shake,,Method,1
Pisco Sour,Up,,Serve,1
Hemingway Daiquiri,Rum,White,Ounce,1.5
Hemingway Daiquiri,Maraschino Liqueur,,Ounce,0.5
Hemingway Daiquiri,Grapefruit Juice,,Ounce,1
Hemingway Daiquiri,Lime,,Ounce,0.5
Hemingway Daiquiri,Simple Syrup,,Ounce,0.1667
Hemingway Daiquiri,Shake,,Method,1
Hemingway Daiquiri,Up,,Serve,1
Zombie Punch,Rum,Dark,Ounce,2.5
Zombie Punch,Rum,Overproof,Ounce,0.75
Zombie Punch,Donn's Mix No. 1,,Ounce,0.5
Zombie Punch,Lime,,Ounce,0.75
Zombie Punch,Falernum,,Ounce,0.5
Zombie Punch,Grenadine,,Ounce,0.1667
Zombie Punch,Absinthe,,Dash,2
Zombie Punch,Pineapple Wedge,,Garnish,1
Zombie Punch,Orange Slice,,Garnish,1
Zombie Punch,Cherry,,Garnish,1
Zombie Punch,Shake,,Method,1
Zombie Punch,Crushed,,Serve,1
Southside,Gin,,Ounce,2
Southside,Lime,,Ounce,0.75
Southside,Simple Syrup,,Ounce,0.75
Southside,Mint Leaves,,Adjunct,5
Southside,Angostura Bitters,,Dash,1
Southside,Shake,,Method,1
Southside,Up,,Serve,1
Jack Rose,Apple Brandy,,Ounce,2
Jack Rose,Lime,,Ounce,0.75
Jack Rose,Grenadine,,Ounce,0.75
Jack Rose,Shake,,Method,1
Jack Rose,Up,,Serve,1
Bee's Knees,Gin,,Ounce,2
Bee's Knees,Lemon,,Ounce,0.75
Bee's Knees,Honey Syrup,,Ounce,0.75
Bee's Knees,Shake,,Method,1
Bee's Knees,Up,,Serve,1
Pink Lady,Gin,,Ounce,1.5
Pink Lady,Apple Brandy,,Ounce,0.5
Pink Lady,Lemon,,Ounce,0.5
Pink Lady,Grenadine,,Ounce,0.5
Pink Lady,Simple Syrup,,Ounce,0.5
Pink Lady,Egg White,,Adjunct,1
Pink Lady,Cherry,,Garnish,1
Pink Lady,Shake,,Method,1
Pink Lady,Up,,Serve,1
Whiskey Sour,Bourbon,,Ounce,2
Whiskey Sour,Lemon,,Ounce,0.75
Whiskey Sour,Simple Syrup,,Ounce,1
Whiskey Sour,Egg White,,Adjunct,1
Whiskey Sour,Shake,,Method,1
Whiskey Sour,Rocks,,Serve,1
Whiskey Sour,Cherry,,Garnish,1
Brown Derby,Bourbon,,Ounce,2
Brown Derby,Grapefruit Juice,,Ounce,1
Brown Derby,Lemon,,Ounce,0.1667
Brown Derby,Honey Syrup,,Ounce,0.5
Brown Derby,Shake,,Method,1
Brown Derby,Up,,Serve,1
Mojito,Rum,White,Ounce,2
Mojito,Lime,,Ounce,0.75
Mojito,Simple Syrup,,Ounce,0.75
Mojito,Mint Leaves,,Adjunct,5
Mojito,Seltzer,,Ounce,2
Mojito,Mint Sprig,,Garnish,1
Mojito,Shake,,Method,1
Mojito,Collins,,Serve,1
